Ano,faixa_etaria,nMx,Local,sexo,ax,n,nqx,lx,dx,Lx,Tx,ex
2056,80-84,0.0654483437059776,Nordeste,Homens,2.5,5,0.2812270989509468,53273.06624567176,14981.829872491877,228910.75654712907,422703.4376134885,7.934655678803389
2056,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,38291.23637317988,18678.318346497923,144760.38599965457,193792.68106635945,5.061019163175849
2056,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19612.91802668196,19612.91802668196,49032.295066704886,49032.295066704886,2.5
2057,0,0.0125451536564006,Nordeste,Homens,0.0786711924137794,1,0.0124018109035005,100000.0,1240.1810903500557,99379.90945482496,7474757.479068438,74.74757479068438
2057,1-4,0.0005883617229846,Nordeste,Homens,1.6863271526964243,4,0.002350247555072,98759.81890964994,232.1100229317624,394575.0555927362,7375377.569613612,74.6799422178057
2057,5-9,8.966579612005394e-05,Nordeste,Homens,2.5,5,0.0004482285036862,98527.70888671816,44.162927525923486,492528.13711477607,6980802.514020876,70.85116047960706
2057,10-14,0.0001424350063608,Nordeste,Homens,2.5,5,0.0007119215254366,98483.54595919226,70.11255626967717,492242.4484052871,6488274.3769061,65.88181115650109
2057,15-19,0.0008647530754975,Nordeste,Homens,2.5,5,0.0043144380685156,98413.43340292256,424.5986635269003,491005.6703557956,5996031.9285008125,60.92696617901707
2057,20-24,0.0022904589548962,Nordeste,Homens,2.5,5,0.0113870906153061,97988.83473939568,1115.8077404657618,487154.654345814,5505026.258145017,56.18013800027119
2057,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96873.02699892993,1469.9649836245658,480690.2225355881,5017871.6037992025,51.798439248260834
2057,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95403.06201530536,1464.8355286220608,473353.2212549716,4537181.381263615,47.55802681192478
2057,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93938.22648668328,1532.093881097746,465860.8977306721,4063828.160008643,43.26064385071962
2057,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92406.13260558556,1939.307138575806,457182.39518148825,3597967.2622779706,38.9364554150867
2057,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90466.82546700974,2476.7746991777544,446142.1905871043,3140784.8670964823,34.717531546874305
2057,50-54,0.0044944121123056,Nordeste,Homens,2.5,5,0.0222223693466391,87990.05076783198,1955.3474069922945,435061.8853216792,2694642.676509378,30.624401884019644
2057,55-59,0.0075281441132704,Nordeste,Homens,2.5,5,0.0369453949230952,86034.70336083969,3178.5860927575723,422227.05157230445,2259580.791187699,26.26359716393454
2057,60-64,0.0112673712544713,Nordeste,Homens,2.5,5,0.0547934119845341,82856.11726808212,4539.969368908901,402930.6629181383,1837353.7396153945,22.175233406974776
2057,65-69,0.0178973969017533,Nordeste,Homens,2.5,5,0.085654502920778,78316.14789917321,6708.13071897382,374810.4126984315,1434423.076697256,18.315802234604025
2057,70-74,0.0217309904088303,Nordeste,Homens,2.5,5,0.1030561704169008,71608.0171801994,7379.64802173899,339590.9658466495,1059612.6639988243,14.797402661385547
2057,75-79,0.0362542799430477,Nordeste,Homens,2.5,5,0.1662071026456437,64228.36915846041,10675.211145482528,294453.81792859576,720021.6981521749,11.210337543769487
2057,80-84,0.0650193711500456,Nordeste,Homens,2.5,5,0.279641559831133,53553.15801297788,14975.688640632272,230326.5684633088,425567.8802235792,7.946643970472267
