idade,Sexo,Ano,regiao,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex,faixa_etaria
35,Homens,2049,Centro-Oeste,0.00157747059659542,2.5867618965327,0.00785744118041727,96484.5192899192,758.12143514138,480593.068915258,0.991014028530387,4408471.30495755,45.6909702966013,35-39
40,Homens,2049,Centro-Oeste,0.00208143103402173,2.62187153449626,0.0103558944207076,95726.3978547779,991.332469458735,476274.473309491,0.987779838602698,3927878.23604229,41.0323413819571,40-44
45,Homens,2049,Centro-Oeste,0.00289105171728804,2.6318019749978,0.0143569624518586,94735.0653853191,1360.10777661139,470454.322376234,0.983087131431811,3451603.7627328,36.4342785714453,45-49
50,Homens,2049,Centro-Oeste,0.00403342403395767,2.6535418375957,0.0199780427638581,93374.9576087077,1865.44889618021,462497.590254548,0.974990077965886,2981149.44035657,31.9266483937719,50-54
55,Homens,2049,Centro-Oeste,0.00628996441144525,2.66706792910155,0.0309949995829364,91509.5087125275,2836.3371843795,450930.561581317,0.961693022229644,2518651.85010202,27.523389487471,55-59
60,Homens,2049,Centro-Oeste,0.00957773711931896,2.66240554579839,0.0468399913456103,88673.171528148,4153.45058696627,433656.774582847,0.941078131553519,2067721.2885207,23.318454194055,60-64
65,Homens,2049,Centro-Oeste,0.015093729667391,2.64706023211646,0.0728803298924127,84519.7209411817,6159.825144608,408104.907159952,0.911582001034813,1634064.51393786,19.3335294501862,65-69
70,Homens,2049,Centro-Oeste,0.0225620155879083,2.6436190304393,0.107115323456311,78359.8957965737,8393.54558425286,372021.087900995,0.863505509948343,1225959.6067779,15.645242943668,70-74
75,Homens,2049,Centro-Oeste,0.037685330440722,2.6384266625363,0.173027757678841,69966.3502123209,12106.1206902104,321242.259219486,0.780414732013337,853938.518876909,12.2049887736824,75-79
80,Homens,2049,Centro-Oeste,0.0639159571366,2.59115902201682,0.276941012285462,57860.2295221105,16023.8705349225,250702.191640134,0.654096491231043,532696.259657423,9.20660467573604,80-84
85,Homens,2049,Centro-Oeste,0.110608150824672,2.5080707877331,0.433544020610427,41836.358987188,18137.9032830067,163983.423895744,0.418486264449753,281994.068017289,6.74040654693796,85-89
90,Homens,2049,Centro-Oeste,0.200816255860558,4.97967654916531,1.0,23698.4557041814,23698.4557041814,118010.644121545,0.0,118010.644121545,4.97967654916531,90+
0,Ambos,2049,Centro-Oeste,0.00823938463160601,0.0701652649351156,0.00817674044780957,100000.0,817.674044780957,99239.6982712017,0.991190452311134,8123987.06817937,81.2398706817937,0
1,Ambos,2049,Centro-Oeste,0.000388231605637484,1.57095516714367,0.00155146334300847,99182.325955219,153.877742993849,396355.527884365,0.998633569649782,8024747.36990817,80.9090459678406,1-4
5,Ambos,2049,Centro-Oeste,0.000169903146743691,2.33361578753556,0.000849131054366442,99028.4482122252,84.0881306427036,494918.029797125,0.999188234752414,7628391.8420238,77.0323273740047,5-9
10,Ambos,2049,Centro-Oeste,0.000182090561565502,2.71754252724095,0.000910074568129657,98944.3600815825,90.0467457701161,494516.272540132,0.998448406234983,7133473.81222668,72.0958102750366,10-14
15,Ambos,2049,Centro-Oeste,0.000483597807986287,2.81141042194442,0.0024154325530676,98854.3133358124,238.775926442468,493748.984174959,0.996710002256638,6638957.53968655,67.1590071859962,15-19
20,Ambos,2049,Centro-Oeste,0.000815751812825577,2.62577564625911,0.00407087468432876,98615.5374093699,401.451494721288,492124.551131237,0.995663665126237,6145208.55551159,62.3148107990506,20-24
25,Ambos,2049,Centro-Oeste,0.000891703970803809,2.52842804733467,0.00444871528358585,98214.0859146486,436.926505071911,489990.534277931,0.995443575589406,5653084.00438035,57.5587905923502,25-29
30,Ambos,2049,Centro-Oeste,0.000943391937564516,2.54889665474887,0.00470607758398434,97777.1594095767,460.146898123072,487757.929446587,0.994879258668342,5163093.47010242,52.8046989836844,30-34
35,Ambos,2049,Centro-Oeste,0.00113827822229987,2.60154158554959,0.00567589527613138,97317.0125114536,552.361171600962,485260.247257426,0.99338886239256,4675335.54065583,48.0423249748401,35-39
40,Ambos,2049,Centro-Oeste,0.0015534976521881,2.63491770917544,0.00773905381801099,96764.6513398527,748.866844400196,482052.124987387,0.990738190676184,4190075.29339841,43.3017143696638,40-44
45,Ambos,2049,Centro-Oeste,0.0022092581268261,2.63866988700428,0.010988963543815,96015.7844954525,1055.11395545134,477587.450121613,0.987010024482945,3708023.16841102,38.6188915488853,45-49
50,Ambos,2049,Centro-Oeste,0.0030901417926131,2.65230477038858,0.0153394258593208,94960.6705400011,1456.64216529974,471383.600837281,0.98096936498035,3230435.71828941,34.0186700443382,50-54
55,Ambos,2049,Centro-Oeste,0.00473329267325961,2.66656574162039,0.0234079268572073,93504.0283747014,2188.73545704923,462412.871575498,0.971073593320025,2759052.11745213,29.5073074969101,55-59
60,Ambos,2049,Centro-Oeste,0.00720709144301102,2.67028650214324,0.0354403967148883,91315.2929176522,3236.25020713783,449036.92879825,0.955040267827413,2296639.24587663,25.15065300122,60-64
65,Ambos,2049,Centro-Oeste,0.0115197990376074,2.66269474228431,0.0560887884689684,88079.0427105143,4940.24679513929,428848.34874388,0.930988530915686,1847602.31707838,20.9766393936729,65-69
70,Ambos,2049,Centro-Oeste,0.0176581638459123,2.66795530426258,0.0847988348136359,83138.7959153751,7050.07302143247,399252.894182682,0.889106201207526,1418753.9683345,17.064884723356,70-74
75,Ambos,2049,Centro-Oeste,0.0307790514049426,2.66926233056281,0.143594117375969,76088.7228939426,10925.8930062203,354978.224067875,0.813167972893957,1019501.07415182,13.39884591798,75-79
80,Ambos,2049,Centro-Oeste,0.0541332131020669,2.62207853539702,0.239798160192559,65162.8298877222,15625.9267200165,288656.922886771,0.69576324093662,664522.850083941,10.1978820015788,80-84
85,Ambos,2049,Centro-Oeste,0.0950253226516644,2.54526336667292,0.385260033219344,49536.9031677058,19084.5889599737,200836.876186492,0.465668841855044,375865.92719717,7.58759436222096,85-89
90,Ambos,2049,Centro-Oeste,0.173984341638658,5.74764367058308,1.0,30452.314207732,30452.314207732,175029.051010678,0.0,175029.051010678,5.74764367058308,90+
0,Mulheres,2050,Centro-Oeste,0.00741730332183577,0.0720998076596379,0.00736660255321258,100000.0,736.660255321258,99316.4528073979,0.991983138648391,8409060.31166848,84.0906031166848,0
1,Mulheres,2050,Centro-Oeste,0.00038325385693191,1.51200908881365,0.00153155504081382,99263.3397446787,152.027268353981,396675.116516798,0.998709212677802,8309743.85886108,83.7141272924634,1-4
5,Mulheres,2050,Centro-Oeste,0.000152350594766896,2.28076524547865,0.000761437527755303,99111.3124763248,75.4670727445482,495351.349694595,0.999313215547341,7913068.74234428,79.8402174750185,5-9
10,Mulheres,2050,Centro-Oeste,0.00014123630809444,2.59593189931166,0.000705941843776382,99035.8454035802,69.9135473041388,495011.150089021,0.999072607944043,7417717.39264969,74.8993191548152,10-14
15,Mulheres,2050,Centro-Oeste,0.000241790074548516,2.67867750832816,0.00120827220249486,98965.9318562761,119.577784455949,494552.080680819,0.998558467995139,6922706.24256067,69.9503971994546,15-19
20,Mulheres,2050,Centro-Oeste,0.000333787436330363,2.61824352145872,0.00166761142991644,98846.3540718201,164.837309855749,493839.168028446,0.998096024538362,6428154.16187985,65.0317780786255,20-24
25,Mulheres,2050,Centro-Oeste,0.000427937290154749,2.5884233457704,0.00213748056318376,98681.5167619644,210.929824024177,492898.910370524,0.997661693797276,5934314.9938514,60.1360334596997,25-29
30,Mulheres,2050,Centro-Oeste,0.000512456487415164,2.59295144223856,0.00255912573590596,98470.5869379402,251.998613262651,491746.361791089,0.997087420607517,5441416.08348088,55.2593038458302,30-34
