regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_carter_2_1$lmt_inf,previsao_lee_carter_3_1$lmt_max
Piauí,65-69,Mulheres,2058,0.003935782376314249,0.0023469204066597516,0.006600301769821189
Piauí,65-69,Mulheres,2059,0.003827265817876527,0.0022584497594860696,0.006485848790375288
Piauí,65-69,Mulheres,2060,0.0037217412550140778,0.002173323716748586,0.006373352419857721
Piauí,65-69,Mulheres,2061,0.003619126193058336,0.0020914149498813465,0.006262781282128655
Piauí,65-69,Mulheres,2062,0.0035193404118662648,0.0020126010688298916,0.006154104321228443
Piauí,65-69,Mulheres,2063,0.0034223059031076386,0.001936764420150425,0.006047290817917714
Piauí,65-69,Mulheres,2064,0.003327946809281388,0.0018637918946498243,0.00594231040343001
Piauí,65-69,Mulheres,2065,0.003236189364413413,0.0017935747439465708,0.005839133070806923
Piauí,65-69,Mulheres,2066,0.003146961836389424,0.001726008405394689,0.00573772918413273
Piauí,65-69,Mulheres,2067,0.003060194470877811,0.0016609923348661396,0.005638069485941265
Piauí,65-69,Mulheres,2068,0.002975819436798617,0.001598429846933378,0.005540125103030274
Piauí,65-69,Mulheres,2069,0.0028937707732960695,0.0015382279620339244,0.005443867550886361
Piauí,65-69,Mulheres,2070,0.002813984338173145,0.001480297260233977,0.005349268736896909
Piauí,70-74,Mulheres,2024,0.0156726983407362,0.013818889714622033,0.017775196007231008
Piauí,70-74,Mulheres,2025,0.015314314748126761,0.01337461662830869,0.017535324018805216
Piauí,70-74,Mulheres,2026,0.014964126221654595,0.012946212792508804,0.017296569828296228
Piauí,70-74,Mulheres,2027,0.01462194536683405,0.012532785039941317,0.01705935956208508
Piauí,70-74,Mulheres,2028,0.014287589074281381,0.012133565926276907,0.016824007286550594
Piauí,70-74,Mulheres,2029,0.013960878421728377,0.011747881212855709,0.016590747112168226
Piauí,70-74,Mulheres,2030,0.013641638578276672,0.011375127959365782,0.01635975470035081
Piauí,70-74,Mulheres,2031,0.013329698710841399,0.011014759294275834,0.016131162104844568
Piauí,70-74,Mulheres,2032,0.013024891892734265,0.01066627353499878,0.015905068275321926
Piauí,70-74,Mulheres,2033,0.012727055014336951,0.010329206226014616,0.015681546654573518
Piauí,70-74,Mulheres,2034,0.012436028695817149,0.010003124185182531,0.015460650778711229
Piauí,70-74,Mulheres,2035,0.012151657201840468,0.00968762096356224,0.015242418474715401
Piauí,70-74,Mulheres,2036,0.011873788358232688,0.00938231332026076,0.01502687505347388
Piauí,70-74,Mulheres,2037,0.01160227347054758,0.009086838439362352,0.014814035770929638
Piauí,70-74,Mulheres,2038,0.011336967244496876,0.008800851698293173,0.014603907747669618
Piauí,70-74,Mulheres,2039,0.011077727708199678,0.008524024852091696,0.014396491482178378
Piauí,70-74,Mulheres,2040,0.010824416136209885,0.008256044535694297,0.014191782055350507
Piauí,70-74,Mulheres,2041,0.01057689697528075,0.007996611012500404,0.013989770097710817
Piauí,70-74,Mulheres,2042,0.010335037771827031,0.007745437115946977,0.013790442572334038
Piauí,70-74,Mulheres,2043,0.010098709101045787,0.007502247344049087,0.013593783413238225
Piauí,70-74,Mulheres,2044,0.009867784497658032,0.007266777076464593,0.013399774049432359
Piauí,70-74,Mulheres,2045,0.009642140388234034,0.007038771890695882,0.013208393837752649
Piauí,70-74,Mulheres,2046,0.009421656025066139,0.0068179869592847695,0.01301962042238594
Piauí,70-74,Mulheres,2047,0.009206213421553682,0.006604186513794234,0.012833430035049408
Piauí,70-74,Mulheres,2048,0.008995697289065506,0.006397143364356579,0.012649797746816595
Piauí,70-74,Mulheres,2049,0.008789994975246147,0.006196638465853212,0.012468697680301757
Piauí,70-74,Mulheres,2050,0.008588996403732806,0.006002460523554883,0.0122901031891577
Piauí,70-74,Mulheres,2051,0.008392594015250752,0.005814405632424031,0.01211398701047592
Piauí,70-74,Mulheres,2052,0.008200682710055762,0.005632276945356934,0.011940321394608851
Piauí,70-74,Mulheres,2053,0.008013159791692629,0.005455884366493076,0.011769078216089975
Piauí,70-74,Mulheres,2054,0.00782992491203978,0.005285044266394938,0.011600229068658428
Piauí,70-74,Mulheres,2055,0.007650880017610508,0.005119579216441792,0.011433745346859854
Piauí,70-74,Mulheres,2056,0.007475929297082174,0.004959317740216625,0.011269598316265634
Piauí,70-74,Mulheres,2057,0.007304979130025204,0.004804094080017649,0.011107759174005945
