regiao,Faixa_Etaria,Sexo,ano,previsto,lmt_inf,lmt_max
Minas Gerais,1-4,Mulheres,2066,1.0165295292095706e-4,1.9179402673648417e-5,5.38771880093419e-4
Minas Gerais,1-4,Mulheres,2067,9.846421472233782e-5,1.7992454355323527e-5,5.388481965506877e-4
Minas Gerais,1-4,Mulheres,2068,9.537550363564377e-5,1.687939899860611e-5,5.38910579369792e-4
Minas Gerais,1-4,Mulheres,2069,9.238368192346988e-5,1.5835587298337783e-5,5.389597824788427e-4
Minas Gerais,1-4,Mulheres,2070,8.9485710275686e-5,1.485666835868606e-5,5.389965064988648e-4
Minas Gerais,5-9,Mulheres,2024,1.7111289449251487e-4,1.5345583161859955e-4,1.9080162906013473e-4
Minas Gerais,5-9,Mulheres,2025,1.6728354730567553e-4,1.4294945754096555e-4,1.9575999573940856e-4
Minas Gerais,5-9,Mulheres,2026,1.6353989734183564e-4,1.3438587451461927e-4,1.9901867007360646e-4
Minas Gerais,5-9,Mulheres,2027,1.5988002677697093e-4,1.2689869584074054e-4,2.0143329915923728e-4
Minas Gerais,5-9,Mulheres,2028,1.5630206070617333e-4,1.201505997579308e-4,2.0333093825762374e-4
Minas Gerais,5-9,Mulheres,2029,1.528041661831597e-4,1.1396666063301497e-4,2.0487669879279354e-4
Minas Gerais,5-9,Mulheres,2030,1.493845512812777e-4,1.0824113821596849e-4,2.06166939199984e-4
Minas Gerais,5-9,Mulheres,2031,1.4604146417552342e-4,1.0290348212545143e-4,2.0726324141810072e-4
Minas Gerais,5-9,Mulheres,2032,1.4277319224510556e-4,9.790321365381774e-5,2.0820751089883135e-4
Minas Gerais,5-9,Mulheres,2033,1.3957806119609052e-4,9.320227477623714e-5,2.090296102110457e-4
Minas Gerais,5-9,Mulheres,2034,1.3645443420368336e-4,8.877078258529213e-5,2.0975158798399945e-4
Minas Gerais,5-9,Mulheres,2035,1.3340071107370357e-4,8.458450392505564e-5,2.1039018838175445e-4
Minas Gerais,5-9,Mulheres,2036,1.3041532742282506e-4,8.062326898299964e-5,2.109584223183636e-4
Minas Gerais,5-9,Mulheres,2037,1.2749675387716412e-4,7.686992965797658e-5,2.1146659456487978e-4
Minas Gerais,5-9,Mulheres,2038,1.2464349528879966e-4,7.33096500227216e-5,2.1192299940040355e-4
Minas Gerais,5-9,Mulheres,2039,1.2185408996982864e-4,6.99294076948204e-5,2.123344059651584e-4
Minas Gerais,5-9,Mulheres,2040,1.1912710894356096e-4,6.671763386293567e-5,2.1270640554198165e-4
Minas Gerais,5-9,Mulheres,2041,1.1646115521247447e-4,6.366394720784968e-5,2.1304366550102546e-4
Minas Gerais,5-9,Mulheres,2042,1.1385486304255003e-4,6.075895306413576e-5,2.133501185373368e-4
Minas Gerais,5-9,Mulheres,2043,1.1130689726362367e-4,5.799408894912122e-5,2.1362910605120605e-4
Minas Gerais,5-9,Mulheres,2044,1.0881595258539612e-4,5.536150371386323e-5,2.1388348839415758e-4
Minas Gerais,5-9,Mulheres,2045,1.0638075292874864e-4,5.285396151703037e-5,2.1411573075825156e-4
Minas Gerais,5-9,Mulheres,2046,1.04000050772025e-4,5.046476442615117e-5,2.1432797088375688e-4
Minas Gerais,5-9,Mulheres,2047,1.0167262651194142e-4,4.818768920602913e-5,2.1452207300580353e-4
Minas Gerais,5-9,Mulheres,2048,9.93972878387997e-5,4.6016935060808914e-5,2.1469967125480058e-4
Minas Gerais,5-9,Mulheres,2049,9.717286912568151e-5,4.39470799403779e-5,2.148622048820391e-4
Minas Gerais,5-9,Mulheres,2050,9.499823083131374e-5,4.197304362188517e-5,2.1501094708257032e-4
Minas Gerais,5-9,Mulheres,2051,9.287225891629527e-5,4.009005620998705e-5,2.151470287553929e-4
Minas Gerais,5-9,Mulheres,2052,9.079386427238907e-5,3.829363101579827e-5,2.1527145822531442e-4
Minas Gerais,5-9,Mulheres,2053,8.87619821645861e-5,3.6579541008636846e-5,2.1538513771744805e-4
Minas Gerais,5-9,Mulheres,2054,8.677557168565454e-5,3.494379820986145e-5,2.154888772007367e-4
Minas Gerais,5-9,Mulheres,2055,8.48336152228973e-5,3.338263553062494e-5,2.1558340608500982e-4
Minas Gerais,5-9,Mulheres,2056,8.293511793684138e-5,3.1892490656590124e-5,2.1566938315545177e-4
Minas Gerais,5-9,Mulheres,2057,8.107910725159464e-5,3.0469991660684994e-5,2.1574740505090733e-4
Minas Gerais,5-9,Mulheres,2058,7.926463235660698e-5,2.911194408564507e-5,2.1581801353232606e-4
Minas Gerais,5-9,Mulheres,2059,7.749076371958323e-5,2.7815319285648522e-5,2.1588170174061233e-4
Minas Gerais,5-9,Mulheres,2060,7.575659261029491e-5,2.6577243853915677e-5,2.1593891960609203e-4
Minas Gerais,5-9,Mulheres,2061,7.406123063504964e-5,2.5394989993031778e-5,2.1599007854238543e-4
Minas Gerais,5-9,Mulheres,2062,7.24038092815784e-5,2.426596670869725e-5,2.160355555340087e-4
Minas Gerais,5-9,Mulheres,2063,7.07834794741074e-5,2.3187711726918984e-5,2.1607569670813374e-4
Minas Gerais,5-9,Mulheres,2064,6.919941113838808e-5,2.2157884050324778e-5,2.1611082046570635e-4
Minas Gerais,5-9,Mulheres,2065,6.765079277646026e-5,2.117425708207639e-5,2.161412202347164e-4
Minas Gerais,5-9,Mulheres,2066,6.613683105093233e-5,2.0234712256359157e-5,2.1616716689830487e-4
Minas Gerais,5-9,Mulheres,2067,6.46567503785641e-5,1.9337233123099585e-5,2.1618891094207608e-4
