LOCAL,SEXO,IDADE,ANO,Previsao,Lower_95,Upper_95
Goiás,Ambos,50-54,2037,0.0043694417320907,0.0042683462636409,0.0044759487720734
Goiás,Ambos,50-54,2038,0.0043037506641843,0.0042026551957346,0.0044102577041671
Goiás,Ambos,50-54,2039,0.0042400874438238,0.0041389919753741,0.0043465944838066
Goiás,Ambos,50-54,2040,0.0041783760301986,0.0040772805617489,0.0042848830701814
Goiás,Ambos,50-54,2041,0.0041185441293964,0.0040174486609466,0.0042250511693791
Goiás,Ambos,50-54,2042,0.0040605229497695,0.0039594274813197,0.0041670299897522
Goiás,Ambos,50-54,2043,0.004004246977138,0.0039031515086883,0.0041107540171208
Goiás,Ambos,50-54,2044,0.0039496537679657,0.0038485582995159,0.0040561608079484
Goiás,Ambos,50-54,2045,0.0038966837588404,0.0037955882903906,0.0040031907988232
Goiás,Ambos,50-54,2046,0.0038452800907645,0.0037441846223148,0.0039517871307473
Goiás,Ambos,50-54,2047,0.0037953884469096,0.0036942929784599,0.0039018954868924
Goiás,Ambos,50-54,2048,0.0037469569026302,0.0036458614341804,0.0038534639426129
Goiás,Ambos,50-54,2049,0.0036999357866485,0.0035988403181988,0.0038064428266313
Goiás,Ambos,50-54,2050,0.0036542775524328,0.003553182083983,0.0037607845924155
Goiás,Ambos,50-54,2051,0.0036099366588848,0.003508841190435,0.0037164436988675
Goiás,Ambos,50-54,2052,0.003566869459541,0.0034657739910912,0.0036733764995237
Goiás,Ambos,50-54,2053,0.003525034099566,0.0034239386311162,0.0036315411395487
Goiás,Ambos,50-54,2054,0.0034843904198866,0.0033832949514368,0.0035908974598693
Goiás,Ambos,50-54,2055,0.0034448998678764,0.0033438043994266,0.0035514069078591
Goiás,Ambos,50-54,2056,0.0034065254140553,0.0033054299456056,0.0035130324540381
Goiás,Ambos,50-54,2057,0.0033692314743186,0.0032681360058689,0.0034757385143014
Goiás,Ambos,50-54,2058,0.0033329838372531,0.0032318883688034,0.0034394908772359
Goiás,Ambos,50-54,2059,0.0032977495961405,0.0031966541276908,0.0034042566361233
Goiás,Ambos,50-54,2060,0.0032634970852818,0.003162401616832,0.0033700041252645
Goiás,Ambos,50-54,2061,0.0032301958203092,0.0031291003518594,0.0033367028602919
Goiás,Ambos,50-54,2062,0.0031978164421838,0.003096720973734,0.0033043234821666
Goiás,Ambos,50-54,2063,0.0031663306645996,0.0030652351961498,0.0032728377045824
Goiás,Ambos,50-54,2064,0.0031357112245423,0.0030346157560925,0.003242218264525
Goiás,Ambos,50-54,2065,0.0031059318357705,0.0030048363673208,0.0032124388757533
Goiás,Ambos,50-54,2066,0.0030769671450076,0.0029758716765578,0.0031834741849904
Goiás,Ambos,50-54,2067,0.0030487926906497,0.0029476972222,0.0031552997306325
Goiás,Ambos,50-54,2068,0.0030213848638121,0.0029202893953623,0.0031278919037948
Goiás,Ambos,50-54,2069,0.0029947208715497,0.0028936254030999,0.0031012279115324
Goiás,Ambos,50-54,2070,0.0029687787021029,0.0028676832336531,0.0030752857420856
Goiás,Ambos,55-59,2020,0.0085200341781243,0.0082252888869476,0.0088082446165447
Goiás,Ambos,55-59,2021,0.0083302549657056,0.008035509674529,0.008618465404126
Goiás,Ambos,55-59,2022,0.0081447038894396,0.007849958598263,0.00843291432786
Goiás,Ambos,55-59,2023,0.007963286730268,0.0076685414390913,0.0082514971686884
Goiás,Ambos,55-59,2024,0.0077859113691097,0.0074911660779331,0.0080741218075301
Goiás,Ambos,55-59,2025,0.0076124877400472,0.0073177424488705,0.0079006981784676
Goiás,Ambos,55-59,2026,0.0074429277845564,0.0071481824933798,0.0077311382229768
Goiás,Ambos,55-59,2027,0.0072771454067575,0.0069824001155808,0.0075653558451779
Goiás,Ambos,55-59,2028,0.007115056429663,0.0068203111384863,0.0074032668680834
Goiás,Ambos,55-59,2029,0.0069565785524017,0.0066618332612251,0.0072447889908221
Goiás,Ambos,55-59,2030,0.0068016313083964,0.0065068860172198,0.0070898417468168
Goiás,Ambos,55-59,2031,0.0066501360244738,0.0063553907332972,0.0069383464628942
Goiás,Ambos,55-59,2032,0.0065020157808861,0.0062072704897095,0.0067902262193065
Goiás,Ambos,55-59,2033,0.0063571953722245,0.0060624500810479,0.0066454058106449
Goiás,Ambos,55-59,2034,0.0062156012692033,0.0059208559780267,0.0065038117076237
Goiás,Ambos,55-59,2035,0.0060771615812969,0.0057824162901202,0.0063653720197173
Goiás,Ambos,55-59,2036,0.0059418060202092,0.0056470607290325,0.0062300164586296
Goiás,Ambos,55-59,2037,0.0058094658641578,0.0055147205729812,0.0060976763025782
Goiás,Ambos,55-59,2038,0.0056800739229545,0.0053853286317779,0.0059682843613749
Goiás,Ambos,55-59,2039,0.0055535645038642,0.0052588192126875,0.0058417749422846
Goiás,Ambos,55-59,2040,0.0054298733782249,0.0051351280870482,0.0057180838166453
Goiás,Ambos,55-59,2041,0.0053089377488123,0.0050141924576357,0.0055971481872327
Goiás,Ambos,55-59,2042,0.0051906962179317,0.0048959509267551,0.0054789066563521
Goiás,Ambos,55-59,2043,0.0050750887562213,0.0047803434650447,0.0053632991946417
Goiás,Ambos,55-59,2044,0.0049620566721511,0.0046673113809745,0.0052502671105715
Goiás,Ambos,55-59,2045,0.004851542582202,0.0045567972910254,0.0051397530206224
Goiás,Ambos,55-59,2046,0.0047434903817093,0.0044487450905326,0.0050317008201297
Goiás,Ambos,55-59,2047,0.0046378452163565,0.0043430999251799,0.0049260556547769
Goiás,Ambos,55-59,2048,0.004534553454305,0.0042398081631284,0.0048227638927254
Goiás,Ambos,55-59,2049,0.0044335626589444,0.0041388173677678,0.0047217730973648
Goiás,Ambos,55-59,2050,0.0043348215622508,0.0040400762710742,0.0046230320006712
Goiás,Ambos,55-59,2051,0.004238280038739,0.0039435347475624,0.0045264904771594
Goiás,Ambos,55-59,2052,0.0041438890799954,0.0038491437888187,0.0044320995184158
Goiás,Ambos,55-59,2053,0.0040516007697785,0.0037568554786019,0.0043398112081989
Goiás,Ambos,55-59,2054,0.0039613682596749,0.0036666229684983,0.0042495786980953
Goiás,Ambos,55-59,2055,0.0038731457452976,0.003578400454121,0.004161356183718
Goiás,Ambos,55-59,2056,0.0037868884430151,0.0034921431518384,0.0040750988814355
Goiás,Ambos,55-59,2057,0.0037025525671992,0.0034078072760226,0.0039907630056196
Goiás,Ambos,55-59,2058,0.0036200953079805,0.0033253500168039,0.0039083057464009
Goiás,Ambos,55-59,2059,0.0035394748094991,0.0032447295183224,0.0038276852479195
Goiás,Ambos,55-59,2060,0.0034606501486405,0.0031659048574639,0.0037488605870609
Goiás,Ambos,55-59,2061,0.003383581314246,0.0030888360230694,0.0036717917526664
Goiás,Ambos,55-59,2062,0.0033082291867855,0.0030134838956088,0.0035964396252059
Goiás,Ambos,55-59,2063,0.0032345555184844,0.0029398102273078,0.0035227659569048
Goiás,Ambos,55-59,2064,0.0031625229138934,0.0028677776227168,0.0034507333523138
Goiás,Ambos,55-59,2065,0.0030920948108909,0.0027973495197143,0.0033803052493113
Goiás,Ambos,55-59,2066,0.0030232354621096,0.002728490170933,0.00331144590053
Goiás,Ambos,55-59,2067,0.0029559099167766,0.0026611646255999,0.003244120355197
Goiás,Ambos,55-59,2068,0.0028900840029587,0.002595338711782,0.003178294441379
