LOCAL,SEXO,IDADE,RMSE,MAE,sMAPE
Brasil,Ambos,65-69,0.0008314977600395,0.0008000322219173,4.22574637141016
Brasil,Ambos,70-74,0.0016458891671034,0.0016454325919705,6.04562281391629
Brasil,Ambos,75-79,0.0020301793556907,0.0020276746064464,4.60622435418135
Brasil,Ambos,80-84,0.0035494270422866,0.0035435751772734,4.87862060431722
Brasil,Ambos,85-89,0.0047856294750376,0.0047042394437282,3.9021370142709
Brasil,Ambos,90+,0.0043494317565506,0.0043116603059187,2.19429390828
Norte,Mulheres,0,0.0011231577525577,0.0007685363516903,5.20615106119582
Norte,Mulheres,1-4,8.45477491776039e-05,7.02646599745701e-05,9.59848012247954
Norte,Mulheres,5-9,4.30891512613116e-05,4.21717482418318e-05,14.5575409352813
Norte,Mulheres,10-14,3.80382755687044e-05,3.73603239521898e-05,11.4877181523268
Norte,Mulheres,15-19,2.76006371643769e-05,2.46169472102965e-05,4.23982779590811
Norte,Mulheres,20-24,8.517037274129e-05,8.43425535433344e-05,12.3209700718367
Norte,Mulheres,25-29,3.67476691951381e-05,3.37082612773809e-05,4.2535670350279
Norte,Mulheres,30-34,9.26095533726338e-05,9.18487292623856e-05,8.84870817013276
Norte,Mulheres,35-39,4.3214947386445e-05,3.75680178157884e-05,2.74894301185411
Norte,Mulheres,40-44,7.13078044152416e-05,6.21064887231029e-05,3.26281781860945
Norte,Mulheres,45-49,0.0002612009926059,0.0002608440380431,9.48579953111353
Norte,Mulheres,50-54,0.00030705028197,0.0002977384993446,7.41127052736471
Norte,Mulheres,55-59,0.0002841543951258,0.0002503316187637,4.15109964710437
Norte,Mulheres,60-64,0.0004421270577395,0.0003929089349802,4.15085339652919
Norte,Mulheres,65-69,0.0006261036546528,0.0005272987622173,3.64047258817164
Norte,Mulheres,70-74,0.0007091640082373,0.0006167975035301,2.98811981655499
Norte,Mulheres,75-79,0.0017954147369346,0.001776022825791,4.84890741076984
Norte,Mulheres,80-84,0.0020749345474499,0.0020028088972145,3.15641104464454
Norte,Mulheres,85-89,0.0040318575711038,0.0038097801125489,3.46975883103037
Norte,Mulheres,90+,0.0150727682706783,0.0149907279729843,8.31520348979421
Norte,Homens,0,0.001487616397251,0.0012174721481153,6.80391546763111
