regiao,Faixa_Etaria,taxa,ano,previsto,lmt_inf,lmt_max
Ceará,15-19,Ambos,2063,0.004720826459167015,0.01959722636699691,0.0011372120748221232
Ceará,15-19,Ambos,2064,0.004832699546150348,0.02065348917135192,0.0011308009368100895
Ceará,15-19,Ambos,2065,0.004947223776466196,0.021766075556740896,0.0011244573249150841
Ceará,15-19,Ambos,2066,0.005064461976314845,0.02293799278385953,0.001118178706882619
Ceará,15-19,Ambos,2067,0.005184478460737792,0.024172407961802773,0.001111962736700788
Ceará,15-19,Ambos,2068,0.0053073390688999685,0.025472656584014864,0.0011058072368450354
Ceará,15-19,Ambos,2069,0.0054331112002080646,0.026842251515454815,0.0010997101825392884
Ceará,15-19,Ambos,2070,0.005561863851284809,0.028284892455350246,0.0010936696877692133
Ceará,20-24,Ambos,2024,0.0022865452784933435,0.002449823347460303,0.00213414951572745
Ceará,20-24,Ambos,2025,0.002313291981654106,0.0025554460584671507,0.002094084425947579
Ceará,20-24,Ambos,2026,0.002340351552500763,0.0026502276315069242,0.0020667075251111
Ceará,20-24,Ambos,2027,0.0023677276507811412,0.0027407903683129,0.002045444370021065
Ceará,20-24,Ambos,2028,0.002395423979052717,0.0028296355491134384,0.0020278427874637632
Ceará,20-24,Ambos,2029,0.002423444283183372,0.0029180266037005667,0.002012689735674815
Ceará,20-24,Ambos,2030,0.002451792352858014,0.003006710838612472,0.0019992896105390408
Ceará,20-24,Ambos,2031,0.0024804720220911276,0.003096179055028961,0.001987204661947206
Ceará,20-24,Ambos,2032,0.0025094871697453054,0.0031867795168874355,0.001976141060824682
Ceará,20-24,Ambos,2033,0.0025388417200558717,0.0032787749156576577,0.0019658919704170583
Ceará,20-24,Ambos,2034,0.0025685396431616146,0.0033723736014176255,0.0019563063522142063
Ceará,20-24,Ambos,2035,0.0025985849556417456,0.0034677479414890106,0.0019472706452788205
Ceará,20-24,Ambos,2036,0.002628981721059123,0.0035650457191867694,0.0019386974064499764
Ceará,20-24,Ambos,2037,0.002659734050509853,0.0036643975319000212,0.0019305179522303426
Ceará,20-24,Ambos,2038,0.0026908461031793004,0.003765921772719751,0.0019226774181679354
Ceará,20-24,Ambos,2039,0.0027223220869046065,0.0038697280914844496,0.0019151313398884662
Ceará,20-24,Ambos,2040,0.0027541662587437965,0.003975919865461386,0.0019078432255883865
Ceará,20-24,Ambos,2041,0.002786382925551527,0.004084596005787827,0.0019007827938928787
Ceará,20-24,Ambos,2042,0.0028189764445615906,0.004195852306995217,0.0018939246697851333
Ceará,20-24,Ambos,2043,0.002851951223976216,0.0043097824752437765,0.0018872474030094456
Ceará,20-24,Ambos,2044,0.002885311723562268,0.004426478926247972,0.0018807327179985983
Ceará,20-24,Ambos,2045,0.002919062455254424,0.004546033415293033,0.0018743649329569932
Ceará,20-24,Ambos,2046,0.0029532079837653936,0.004668537542995374,0.0018681305044791201
Ceará,20-24,Ambos,2047,0.0029877529272033013,0.004794083167892108,0.0018620176666515418
Ceará,20-24,Ambos,2048,0.003022701957696265,0.004922762748353349,0.0018560161421789108
Ceará,20-24,Ambos,2049,0.0030580598020242948,0.005054669630333169,0.0018501169090531574
Ceará,20-24,Ambos,2050,0.0030938312422585795,0.005189898293249125,0.0018443120105120323
Ceará,20-24,Ambos,2051,0.0031300211164082443,0.005328544563248281,0.0018385943990659305
Ceará,20-24,Ambos,2052,0.0031666343190746944,0.005470705800913663,0.0018329578075770307
Ceará,20-24,Ambos,2053,0.0032036758021135887,0.005616481068842829,0.001827396641997897
