Localidade,cod_IBGE,Código DataSUS,Ano,Taxa
Rio Crespo,1100262,110026,1996,16.84
Rio Crespo,1100262,110026,1997,18.52
Rio Crespo,1100262,110026,1998,16.84
Rio Crespo,1100262,110026,1999,16.84
Rio Crespo,1100262,110026,2000,16.84
Rio Crespo,1100262,110026,2001,23.26
Rio Crespo,1100262,110026,2002,16.84
Rio Crespo,1100262,110026,2003,23.26
Rio Crespo,1100262,110026,2004,27.03
Rio Crespo,1100262,110026,2005,16.84
Rio Crespo,1100262,110026,2006,16.84
Rio Crespo,1100262,110026,2007,16.84
Rio Crespo,1100262,110026,2008,16.84
Rio Crespo,1100262,110026,2009,21.28
Rio Crespo,1100262,110026,2010,16.84
Rio Crespo,1100262,110026,2011,16.84
Rio Crespo,1100262,110026,2012,16.84
Rio Crespo,1100262,110026,2013,16.84
Rio Crespo,1100262,110026,2014,16.84
Rio Crespo,1100262,110026,2015,16.84
Rio Crespo,1100262,110026,2016,28.57
Rio Crespo,1100262,110026,2017,16.84
Rio Crespo,1100262,110026,2018,16.84
Rio Crespo,1100262,110026,2019,20.0
Rio Crespo,1100262,110026,2020,20.83
Rio Crespo,1100262,110026,2021,0.0
Rio Crespo,1100262,110026,2022,28.57
Rio Crespo,1100262,110026,2023,16.84
Rolim de Moura,1100288,110028,1996,26.22
Rolim de Moura,1100288,110028,1997,36.84
Rolim de Moura,1100288,110028,1998,26.01
Rolim de Moura,1100288,110028,1999,26.34
Rolim de Moura,1100288,110028,2000,22.98
Rolim de Moura,1100288,110028,2001,20.83
Rolim de Moura,1100288,110028,2002,14.31
Rolim de Moura,1100288,110028,2003,19.44
Rolim de Moura,1100288,110028,2004,18.6
Rolim de Moura,1100288,110028,2005,21.45
Rolim de Moura,1100288,110028,2006,15.8
Rolim de Moura,1100288,110028,2007,8.36
Rolim de Moura,1100288,110028,2008,16.56
Rolim de Moura,1100288,110028,2009,16.01
Rolim de Moura,1100288,110028,2010,12.61
Rolim de Moura,1100288,110028,2011,5.36
Rolim de Moura,1100288,110028,2012,11.87
Rolim de Moura,1100288,110028,2013,11.38
Rolim de Moura,1100288,110028,2014,11.62
Rolim de Moura,1100288,110028,2015,24.57
Rolim de Moura,1100288,110028,2016,10.53
Rolim de Moura,1100288,110028,2017,5.19
Rolim de Moura,1100288,110028,2018,13.33
Rolim de Moura,1100288,110028,2019,8.63
Rolim de Moura,1100288,110028,2020,9.12
Rolim de Moura,1100288,110028,2021,9.8
Rolim de Moura,1100288,110028,2022,9.58
Rolim de Moura,1100288,110028,2023,13.35
Santa Luzia D'Oeste,1100296,110029,1996,46.03
Santa Luzia D'Oeste,1100296,110029,1997,39.22
Santa Luzia D'Oeste,1100296,110029,1998,37.74
Santa Luzia D'Oeste,1100296,110029,1999,40.4
Santa Luzia D'Oeste,1100296,110029,2000,22.42
Santa Luzia D'Oeste,1100296,110029,2001,16.84
Santa Luzia D'Oeste,1100296,110029,2002,21.74
Santa Luzia D'Oeste,1100296,110029,2003,12.74
Santa Luzia D'Oeste,1100296,110029,2004,31.65
